epoch,train_loss,val_loss,val_acc
1,4.1747,3.1681,0.0
2,3.2099,2.9896,
3,2.9753,2.764,
4,2.4091,2.1403,
5,1.6666,1.525,8.97
6,1.1544,0.9948,
7,0.8571,0.8266,
8,0.6643,0.7153,
9,0.5205,0.5996,
10,0.4147,0.5194,50.67
11,0.3373,0.5565,
12,0.2923,0.5544,
13,0.2355,0.4231,
14,0.2106,0.3896,
15,0.1873,0.4547,56.0
16,0.1853,0.401,
17,0.1447,0.3576,
18,0.1469,0.4175,
19,0.1375,0.3588,
20,0.1102,0.3625,62.79
21,0.0991,0.3739,
22,0.0569,0.2935,
23,0.042,0.2865,
24,0.0355,0.2613,
25,0.0344,0.2871,72.12
26,0.0325,0.2799,
27,0.0359,0.3254,
28,0.0531,0.3246,
29,0.0309,0.2775,
30,0.0208,0.2636,73.7
